,Chipotle,Memos Mexican Food Restaurant,U:Don Fresh Japanese Noodle Station,Costa's Restaurant,Thai Tom,Palmi Korean BBQ,Chi Mac,Taste of Xi'an,Just Burgers,Korean Tofu House,Shawarma King,Pho Shizzle
Participant 1,4,2,5,1,5,4,5,5,3,5,2,2
Participant 2,5,4,4,2,3,2,2,5,1,5,5,5
Participant 3,2,4,1,2,3,2,4,5,5,5,5,5
Participant 4,5,5,5,5,4,4,3,2,2,5,2,1
Participant 5,2,5,2,4,3,5,5,4,1,5,2,5
Participant 6,4,5,5,3,4,2,5,5,2,5,1,7
Participant 7,1,4,4,5,5,2,5,5,2,5,3,2
Participant 8,2,2,5,4,5,5,5,1,3,5,4,2
Participant 9,5,2,1,2,4,2,5,5,5,5,3,4
Participant 10,5,2,5,3,5,2,2,4,5,1,4,5
Participant 11,5,3,1,5,5,2,2,4,5,4,2,5
