,Chipotle,Memos Mexican Food Restaurant,U:Don Fresh Japanese Noodle Station,Costa's Restaurant,Thai Tom,Palmi Korean BBQ,Chi Mac,Taste of Xi'an,Just Burgers,Korean Tofu House,Shawarma King,Pho Shizzle
Participant 1,5,4,2,4,2,2,2,2,4,4,2,2
Participant 2,2,2,5,5,2,3,2,2,4,4,4,4
Participant 3,5,1,2,4,4,3,4,1,4,3,3,4
Participant 4,1,4,3,5,4,2,4,5,2,2,2,7
Participant 5,5,5,5,5,5,5,4,2,5,2,5,5
Participant 6,5,5,5,2,5,2,5,5,5,2,2,2
Participant 7,5,5,5,5,2,5,3,3,3,5,3,3
Participant 8,3,3,5,3,3,3,3,4,4,4,3,3
Participant 9,3,5,3,3,1,1,3,1,5,5,3,3
Participant 10,4,3,5,4,4,4,3,3,3,3,3,3
Participant 11,4,3,2,5,2,2,1,2,3,3,2,2
