,Chipotle,Memos Mexican Food Restaurant,U:Don Fresh Japanese Noodle Station,Costa's Restaurant,Thai Tom,Palmi Korean BBQ,Chi Mac,Taste of Xi'an,Just Burgers,Korean Tofu House,Shawarma King,Pho Shizzle
Participant 1,5,3,2,3,2,2,2,2,3,3,2,2
Participant 2,2,2,5,5,2,4,2,2,3,3,3,3
Participant 3,5,1,2,3,3,4,3,1,3,4,4,3
Participant 4,1,3,4,5,3,2,3,5,2,2,2,5
Participant 5,5,5,5,5,5,5,3,2,5,2,5,5
Participant 6,5,5,5,2,5,2,5,5,5,2,2,2
Participant 7,5,5,5,5,2,5,4,4,4,5,4,4
Participant 8,4,4,5,4,4,4,4,3,3,3,4,4
Participant 9,4,5,4,4,1,1,4,1,5,5,4,4
Participant 10,3,4,5,3,3,3,4,4,4,4,4,4
Participant 11,3,4,2,5,2,2,1,2,4,4,2,2
