,Chipotle,Memos Mexican Food Restaurant,U:Don Fresh Japanese Noodle Station,Costa's Restaurant,Thai Tom,Palmi Korean BBQ,Chi Mac,Taste of Xi'an,Just Burgers,Korean Tofu House,Shawarma King,Pho Shizzle,test proposal
Participant 1,5,4,1,4,2,3,5,2,4,4,1,3,2
Participant 2,1,2,3,5,2,1,2,2,3,3,3,3,
Participant 3,5,1,2,4,4,4,4,1,4,2,3,4,3
Participant 4,1,3,4,5,1,2,4,5,3,3,3,3,3
Participant 5,1,1,1,3,3,3,4,3,3,2,1,5,
Participant 6,1,4,5,3,3,1,1,2,3,3,2,2,
Participant 7,1,1,1,3,2,1,3,4,3,1,1,1,
Participant 8,1,1,5,3,1,3,4,1,1,2,1,4,
Participant 9,3,1,1,1,1,1,2,1,4,5,2,2,2
Participant 10,4,1,5,1,2,1,1,1,3,2,3,1,
Participant 11,4,1,1,5,1,1,1,3,3,2,2,2,
